Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
2005-09,Price,0.1946,,,,Pounds per litre
1990-05,Price,0.1489,,,,Pounds per litre
2016-09,Price,0.22699999999999998,,,,Pounds per litre
1999-12,Volume,,1119.0,,,Million litres
2004-08,Price,0.185,,,,Pounds per litre
2015-08,Price,0.2343,,,,Pounds per litre
2003-07,Price,0.1821,,,,Pounds per litre
2014-07,Price,0.316,,,,Pounds per litre
2002-06,Price,0.1532,,,,Pounds per litre
2013-06,Price,0.3071,,,,Pounds per litre
2001-05,Price,0.1789,,,,Pounds per litre
2017-09,Price,0.3045,,,,Pounds per litre
1999-02,Volume,,1080.0,,,Million litres
2005-08,Price,0.1864,,,,Pounds per litre
1990-04,Price,0.1668,,,,Pounds per litre
2016-08,Price,0.2147,,,,Pounds per litre
2004-07,Price,0.1827,,,,Pounds per litre
2015-07,Price,0.23629999999999998,,,,Pounds per litre
2003-06,Price,0.16510000000000002,,,,Pounds per litre
2014-06,Price,0.3172,,,,Pounds per litre
2002-05,Price,0.1485,,,,Pounds per litre
2000-09,Protein,,,3.39,,Percentage
2011-09,Protein,,,3.31,,Percentage
2013-05,Price,0.29960000000000003,,,,Pounds per litre
2018-10,Volume,,1200.0,,,Million litres
2007-10,Volume,,1042.0,,,Million litres
2001-04,Price,0.1844,,,,Pounds per litre
2012-04,Price,0.2783,,,,Pounds per litre
2019-11,Volume,,1163.0,,,Million litres
2010-08,Protein,,,3.25,,Percentage
2008-11,Volume,,983.0,,,Million litres
2000-03,Price,0.1661,,,,Pounds per litre
1973-09,Price,0.0508,,,,Pounds per litre
2009-01,Volume,,1071.0,,,Million litres
2011-03,Price,0.2656,,,,Pounds per litre
1984-09,Price,0.1594,,,,Pounds per litre
1995-09,Price,0.261,,,,Pounds per litre
2009-12,Volume,,1047.0,,,Million litres
2020-07,Protein,,,3.28,,Percentage
1972-08,Price,0.043,,,,Pounds per litre
2010-02,Price,0.2419,,,,Pounds per litre
1983-08,Price,0.1417,,,,Pounds per litre
1994-08,Price,0.2427,,,,Pounds per litre
1971-07,Price,0.0373,,,,Pounds per litre
1982-07,Price,0.1396,,,,Pounds per litre
1996-10,Volume,,1076.0,,,Million litres
2020-01,Price,0.2882,,,,Pounds per litre
1993-07,Price,0.24539999999999998,,,,Pounds per litre
1970-06,Price,0.0286,,,,Pounds per litre
1981-06,Price,0.1259,,,,Pounds per litre
1997-11,Volume,,1066.0,,,Million litres
1992-06,Price,0.1754,,,,Pounds per litre
1998-01,Volume,,1167.0,,,Million litres
1980-05,Price,0.11560000000000001,,,,Pounds per litre
2006-09,Price,0.1845,,,,Pounds per litre
1991-05,Price,0.16219999999999998,,,,Pounds per litre
1998-12,Volume,,1127.0,,,Million litres
1973-08,Price,0.0466,,,,Pounds per litre
2009-02,Volume,,981.0,,,Million litres
2020-06,Protein,,,3.27,,Percentage
2000-02,Price,0.1659,,,,Pounds per litre
2011-02,Price,0.2608,,,,Pounds per litre
1984-08,Price,0.15410000000000001,,,,Pounds per litre
1995-08,Price,0.2606,,,,Pounds per litre
2010-12,Price,0.25989999999999996,,,,Pounds per litre
