Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
2003-11,Price,0.19820000000000002,,,,Pounds per litre
2019-06,Volume,,1288.0,,,Million litres
2014-11,Price,0.2883,,,,Pounds per litre
1976-06,Price,0.0816,,,,Pounds per litre
2008-06,Volume,,1127.0,,,Million litres
1987-06,Price,0.1413,,,,Pounds per litre
2002-10,Price,0.1813,,,,Pounds per litre
1998-06,Price,0.1766,,,,Pounds per litre
2013-10,Price,0.33590000000000003,,,,Pounds per litre
1994-12,Price,0.2409,,,,Pounds per litre
1975-05,Price,0.0647,,,,Pounds per litre
1986-05,Price,0.1328,,,,Pounds per litre
2009-07,Volume,,1101.0,,,Million litres
1997-05,Price,0.1956,,,,Pounds per litre
2006-09,Protein,,,3.35,,Percentage
1974-04,Price,0.055,,,,Pounds per litre
2017-09,Protein,,,3.39,,Percentage
1985-04,Price,0.14279999999999998,,,,Pounds per litre
1995-04,Volume,,1177.0,,,Million litres
2005-08,Protein,,,3.3,,Percentage
1996-04,Price,0.23559999999999998,,,,Pounds per litre
2016-08,Protein,,,3.25,,Percentage
1973-03,Price,0.0475,,,,Pounds per litre
1984-03,Price,0.1531,,,,Pounds per litre
1996-05,Volume,,1310.0,,,Million litres
2004-07,Protein,,,3.25,,Percentage
1995-03,Price,0.2373,,,,Pounds per litre
2015-07,Protein,,,3.31,,Percentage
1972-02,Price,0.0482,,,,Pounds per litre
2012-10,Volume,,994.0,,,Million litres
1997-06,Volume,,1198.0,,,Million litres
1983-02,Price,0.15560000000000002,,,,Pounds per litre
2001-10,Volume,,1074.0,,,Million litres
2003-06,Protein,,,3.3,,Percentage
2009-06,Price,0.22399999999999998,,,,Pounds per litre
1994-02,Price,0.2079,,,,Pounds per litre
1971-12,Price,0.047400000000000005,,,,Pounds per litre
1982-12,Price,0.15539999999999998,,,,Pounds per litre
1971-01,Price,0.0435,,,,Pounds per litre
2013-11,Volume,,1067.0,,,Million litres
2014-06,Protein,,,3.24,,Percentage
1998-07,Volume,,1163.0,,,Million litres
1993-12,Price,0.21530000000000002,,,,Pounds per litre
1982-01,Price,0.1448,,,,Pounds per litre
2002-11,Volume,,1025.0,,,Million litres
